simplicity,generalization,perc_fit_traces,average_trace_fitness,log_fitness,percentage_of_fitting_traces,precision,objective_fitness,f1_score,dataset,miner,time,ftr_fitness
0.66,0.916,46.535,0.94,0.944,46.535,0.673,79.857,0.786,2012,Genetic Miner,303.1679878234863,0.9470864249635028
0.631,0.908,0.0,0.976,0.979,0.0,0.9,89.95,0.938,2020-ptc,Genetic Miner,101.43874979019164,0.9787398277178776
0.76,0.955,78.144,0.98,0.974,78.144,0.997,95.649,0.985,2013-op,Genetic Miner,1.913210153579712,0.978771551724138
0.739,0.992,32.96,0.93,0.957,32.96,0.996,92.981,0.976,RTF,Genetic Miner,193.1681551933289,0.9571314513877872
0.658,0.915,0.0,0.944,0.959,0.0,0.998,91.766,0.978,2020-dd,Genetic Miner,42.602341175079346,0.9590387882493624
0.574,0.864,0.0,0.975,0.977,0.0,0.999,91.281,0.988,2020-id,Genetic Miner,301.22749376296997,0.9767896846532652
0.68,0.948,0.774,0.956,0.96,0.774,0.536,73.446,0.688,2017,Genetic Miner,302.4872009754181,0.9293628099358372
0.641,0.868,0.297,0.915,0.918,0.297,0.151,63.528,0.259,2020-pl,Genetic Miner,301.19518065452576,0.8494280675310895
0.758,0.856,0.0,0.965,0.974,0.0,1.0,94.158,0.987,2020-rfp,Genetic Miner,69.1788260936737,0.973651609626531
0.778,0.943,0.013,0.955,0.969,0.013,0.998,94.979,0.983,2013-i,Genetic Miner,79.00761580467224,0.9693616365340072
0.8,0.944,89.24,0.988,0.983,89.24,0.963,95.625,0.973,2013-cp,Genetic Miner,4.061529159545898,0.9886428489898412
0.771,0.949,0.0,0.971,0.986,0.0,0.994,94.555,0.99,Sepsis,Genetic Miner,130.734304189682,0.9863048489821435
0.68,0.901,5.339,0.932,0.936,5.339,0.235,69.746,0.376,Nasa,Genetic Miner,312.17517495155334,0.9588334907477044
0.6,0.927,95.576,0.995,0.996,95.576,0.39,65.066,0.561,2019,Genetic Miner,319.08059787750244,0.8646427949334244
0.611,0.948,61.71,0.988,0.97,61.71,0.136,55.83,0.238,2012,Inductive Miner,9.928393125534058,0.8096429852821275
0.59,0.886,3.907,0.986,0.986,3.907,0.156,58.923,0.269,2020-ptc,Inductive Miner,0.2907202243804931,0.8386650196668293
0.692,0.933,100.0,1.0,1.0,100.0,0.907,82.947,0.951,2013-op,Inductive Miner,0.0052196979522705,0.8085436406051547
0.624,0.975,100.0,1.0,1.0,100.0,0.63,63.194,0.773,RTF,Inductive Miner,0.633450984954834,0.6194129960754435
0.6,0.855,100.0,1.0,1.0,100.0,0.391,75.426,0.562,2020-dd,Inductive Miner,1.2065589427947998,0.996973585601487
0.622,0.877,6.947,0.971,0.97,6.947,0.233,50.992,0.376,2020-id,Inductive Miner,0.4907832145690918,0.7352230917613923
0.628,0.948,100.0,1.0,1.0,100.0,0.152,63.252,0.263,2017,Inductive Miner,42.98790097236633,0.9461028334162922
0.589,0.915,99.945,1.0,1.0,99.945,0.235,56.365,0.381,2019,Inductive Miner,36.17128896713257,0.7978966529808955
0.595,0.862,100.0,1.0,1.0,100.0,0.102,51.849,0.185,2020-pl,Inductive Miner,4.596970796585083,0.8300053683316505
0.6,0.867,100.0,1.0,1.0,100.0,0.334,72.984,0.501,2020-rfp,Inductive Miner,0.0683679580688476,0.9873406996874746
0.667,0.871,100.0,1.0,1.0,100.0,0.626,79.158,0.77,2013-i,Inductive Miner,0.126255989074707,0.9083282003148536
0.66,0.877,100.0,1.0,1.0,100.0,0.793,85.703,0.885,2013-cp,Inductive Miner,0.0161809921264648,0.93806161745828
0.622,0.902,100.0,1.0,1.0,100.0,0.321,66.013,0.486,Sepsis,Inductive Miner,0.223682165145874,0.8646910553311008
0.662,0.937,81.684,0.995,0.986,81.684,0.195,61.328,0.326,Nasa,Inductive Miner,4.709702014923096,0.9210497870398108
0.818,0.985,0.0,0.593,0.486,0.0,0.916,-,0.635,2012,Split Miner,-,
0.699,0.88,0.286,0.615,0.636,0.286,0.958,-,0.764,2020-ptc,Split Miner,-
1.0,0.959,22.833,0.697,0.698,22.833,0.994,-,0.82,2013-op,Split Miner,-,
0.92,0.987,0.164,0.773,0.786,0.164,0.994,-,0.878,RTF,Split Miner,-,
0.667,0.816,33.714,0.92,0.923,33.714,0.887,-,0.905,2020-dd,Split Miner,-,
0.655,0.904,0.264,0.747,0.759,0.264,0.972,-,0.853,2020-id,Split Miner,-,
0.731,0.952,0.0,0.724,0.715,0.0,0.803,-,0.757,2017,Split Miner,-,
0.731,0.913,0.0,0.479,0.512,0.0,0.996,-,0.677,2019,Split Miner,-,
0.654,0.865,0.0,0.697,0.704,0.0,0.958,-,0.812,2020-pl,Split Miner,-,
0.66,0.811,1.728,0.826,0.829,1.728,0.816,-,0.823,2020-rfp,Split Miner,-
0.846,0.918,0.132,0.779,0.767,0.132,1.0,-,0.868,2013-i,Split Miner,-,
1.0,0.917,0.269,0.642,0.619,0.269,0.987,-,0.761,2013-cp,Split Miner,-,
0.789,0.915,0.0,0.688,0.691,0.0,0.98,-,0.811,Sepsis,Split Miner,-,
0.829,0.949,0.0,0.573,0.577,0.0,0.667,-,0.619,Nasa,Split Miner,-,
